rank,title,detail
61,Elvin Jones,"Elvin Ray Jones (September 9, 1927 – May 18, 2004) was an American jazz drummer of the post-bop era. He showed an interest in drums at a young age, watching the circus bands march by his family's home in Pontiac, Michigan. He served in the United States Army from 1946 to 1949 and subsequently played in a Detroit house band led by Billy Mitchell. He moved to New York City in 1955 and worked as a sideman for Charles Mingus, Teddy Charles, Bud Powell and Miles Davis.From 1960 to 1966 he was a member of the John Coltrane quartet (along with Jimmy Garrison on bass and McCoy Tyner on piano), a celebrated recording phase, appearing on such albums as A Love Supreme. Following his work with Coltrane, Jones led several small groups, some under the name The Elvin Jones Jazz Machine. His brothers Hank Jones and Thad Jones were also jazz musicians with whom he recorded. He was inducted into the Modern Drummer Hall of Fame in 1995."
62,Jaco Pastorius,"John Francis Anthony ""Jaco"" Pastorius III (, December 1, 1951 – September 21, 1987) was an American jazz bassist who was a member of  Weather Report from 1976 to 1981. He worked with Pat Metheny, Joni Mitchell, and recorded albums as a solo artist and band leader. His bass playing employed funk, lyrical solos, bass chords, and innovative harmonics. As of 2017, he is the only electric bassist of seven bassists inducted into the DownBeat Jazz Hall of Fame, and has been lauded as one of the best electric bassists of all time."
63,Keith Jarrett,"Keith Jarrett (born May 8, 1945) is an American jazz and classical music pianist and composer.
Jarrett started his career with Art Blakey, moving on to play with Charles Lloyd and Miles Davis. Since the early 1970s he has enjoyed a great deal of success as a group leader and a solo performer in jazz, jazz fusion, and classical music. His improvisations draw from the traditions of jazz and other genres, especially Western classical music, gospel, blues, and ethnic folk music.
In 2003, Jarrett received the Polar Music Prize, the first recipient of both the contemporary and classical musician prizes, and in 2004 he received the Léonie Sonning Music Prize. His album The Köln Concert (1975) became the best-selling piano recording in history.
In 2008, he was inducted into the Down Beat Hall of Fame in the magazine's 73rd Annual Readers' Poll."
64,Earl Hines,"Earl Kenneth Hines, also known as Earl ""Fatha"" Hines (December 28, 1903 – April 22, 1983), was an American jazz pianist and bandleader. He was one of the most influential figures in the development of jazz piano and, according to one source, ""one of a small number of pianists whose playing shaped the history of jazz"".The trumpeter Dizzy Gillespie (a member of Hines's big band, along with Charlie Parker) wrote, ""The piano is the basis of modern harmony. This little guy came out of Chicago, Earl Hines. He changed the style of the piano. You can find the roots of Bud Powell, Herbie Hancock, all the guys who came after that. If it hadn't been for Earl Hines blazing the path for the next generation to come, it's no telling where or how they would be playing now. There were individual variations but the style of ... the modern piano came from Earl Hines.""The pianist Lennie Tristano said, ""Earl Hines is the only one of us capable of creating real jazz and real swing when playing all alone."" Horace Silver said, ""He has a completely unique style. No one can get that sound, no other pianist"". Erroll Garner said, ""When you talk about greatness, you talk about Art Tatum and Earl Hines"".Count Basie said that Hines was ""the greatest piano player in the world""."
65,Al Jarreau,"Alwin Lopez Jarreau (March 12, 1940 – February 12, 2017) was an American singer and musician. He received a total of seven Grammy Awards and was nominated for over a dozen more. Jarreau is perhaps best known for his 1981 album Breakin' Away. He also sang the theme song of the 1980s television series Moonlighting, and was among the performers on the 1985 charity song ""We Are the World."""
66,Quincy Jones,"Quincy Jones, a multi-talented American music impresario, has made an indelible mark in the world of entertainment. Born on March 14, 1933, in Chicago, Illinois, Jones discovered his passion for music at a young age and honed his skills to become one of the most influential figures in 20th-century popular culture. His journey from a struggling musician to a globally recognized producer is a testament to his exceptional talent and relentless determination.
 
 Jones' career spans six decades, during which he has worn many hats: that of a trumpeter, conductor, composer, record producer, and film producer. He started as a trumpeter and arranger for bandleader Lionel Hampton before moving on to work with some of the biggest names in the industry, including Frank Sinatra, Ella Fitzgerald, and Michael Jackson. Jones' collaboration with Jackson on the latter's album Thriller resulted in one of the best-selling records of all time. His ability to blend different musical styles and genres has earned him a staggering 79 Grammy Award nominations, 28 of which he won, setting a record for the most nominated artist in history.
 
 Apart from music, Quincy Jones has also made significant contributions to film and television. He composed scores for several films and was the first African American to be nominated for an Academy Award for Best Original Score for his work on the 1967 movie In Cold Blood. Jones was instrumental in producing the groundbreaking television series The Fresh Prince of Bel-Air, which launched Will Smith's acting career. In recognition of his outstanding contributions, Jones was honored with the Jean Hersholt Humanitarian Award by the Academy of Motion Picture Arts and Sciences. Quincy Jones' extraordinary life and career have left an enduring legacy that continues to inspire generations of artists worldwide."
67,John McLaughlin,"John McLaughlin (born 4 January 1942), also known as Mahavishnu John McLaughlin, is an English guitarist, bandleader and composer. His music includes many genres of jazz, combined with elements of rock, Indian classical music, Western classical music, flamenco, and blues. He is one of the pioneering figures in fusion.
After contributing to several key British groups of the early 1960s, McLaughlin made Extrapolation, his first album as a bandleader, in 1969. He then moved to the U.S., where he played with Tony Williams's group Lifetime and then with Miles Davis on his electric jazz-fusion albums In a Silent Way, Bitches Brew, Jack Johnson, and On the Corner. His 1970s electric band, the Mahavishnu Orchestra, performed a technically virtuosic and complex style of music that fused electric jazz and rock with Indian influences.
McLaughlin's solo on ""Miles Beyond"" from his album Live at Ronnie Scott's won the 2018 Grammy Award for the Best Improvised Jazz Solo. He has been awarded multiple ""Guitarist of the Year"" and ""Best Jazz Guitarist"" awards from magazines such as DownBeat and Guitar Player based on reader polls. In 2003, he was ranked 49th in Rolling Stone magazine's list of the ""100 Greatest Guitarists of All Time"".  In 2009, DownBeat included McLaughlin in its unranked list of ""75 Great Guitarists"", in the ""Modern Jazz Maestros"" category.  In 2012, Guitar World magazine ranked him 63rd on its top 100 list. In 2010, Jeff Beck called McLaughlin ""the best guitarist alive,"" and Pat Metheny has also described him as the world's greatest guitarist."
68,Red Garland,"William McKinley ""Red"" Garland, Jr. (May 13, 1923 – April 23, 1984) was an American modern jazz pianist. Known for his work as a bandleader and during the 1950s with Miles Davis, Garland helped popularize the block chord style of piano playing."
69,Erroll Garner,"Erroll Louis Garner (June 15, 1923 – January 2, 1977; some sources say b. 1921) was an American jazz pianist and composer known for his swing playing and ballads. His best-known composition, the ballad ""Misty"", has become a jazz standard. Scott Yanow of Allmusic calls him ""one of the most distinctive of all pianists"" and a ""brilliant virtuoso."" He received a star on the Hollywood Walk of Fame at 6363 Hollywood Blvd.

"
70,Vince Guaraldi,"Vincent Anthony Guaraldi  (July 17, 1928 – February 6, 1976), born Vincent Anthony Dellaglio, was an American jazz pianist noted for his innovative compositions and arrangements and for composing music for animated television adaptations of the Peanuts comic strip, as well as his performances on piano as a member of Cal Tjader's 1950s ensembles and for his own solo career which included the radio hit ""Cast Your Fate to the Wind""."
71,Clark Terry,"Clark Virgil Terry Jr. (December 14, 1920 – February 21, 2015) was an American swing and bebop trumpeter, a pioneer of the flugelhorn in jazz, composer, educator, and NEA Jazz Masters inductee.He played with Charlie Barnet (1947), Count Basie (1948–51), Duke Ellington (1951–59), Quincy Jones (1960), and Oscar Peterson (1964-96). He was also with The Tonight Show Band  from 1962 to 1972. Terry's career in jazz spanned more than 70 years, during which he became one of the most recorded jazz musicians ever, appearing on over 900 recordings. Terry also mentored many musicians including Quincy Jones, Miles Davis, Herbie Hancock, Wynton Marsalis, Pat Metheny, Dianne Reeves, and Terri Lyne Carrington among thousands of others."
72,Lionel Hampton,"Lionel Leo Hampton (April 20, 1908 – August 31, 2002) was an American jazz vibraphonist, pianist, percussionist, and bandleader. Hampton worked with  jazz musicians from Teddy Wilson, Benny Goodman, and Buddy Rich to Charlie Parker, Charles Mingus, and Quincy Jones. In 1992, he was inducted into the Alabama Jazz Hall of Fame, and was awarded the National Medal of Arts in 1996."
73,Donald Byrd,"Donaldson Toussaint L'Ouverture Byrd II (December 9, 1932 – February 4, 2013) was an American jazz and rhythm & blues trumpeter and vocalist. A sideman for many other jazz musicians of his generation, Byrd was known as one of the rare bebop jazz musicians who successfully explored funk and soul while remaining a jazz artist.  As a bandleader, Byrd was an influence on the early career of Herbie Hancock."
74,Glenn Miller,"Alton Glenn Miller (March 1, 1904 – disappeared December 15, 1944) was an American big-band trombonist, arranger, composer, and bandleader in the swing era. He was the best-selling recording artist from 1939 to 1943, leading one of the best-known big bands. Miller's recordings include ""In the Mood"", ""Moonlight Serenade"", ""Pennsylvania 6-5000"", ""Chattanooga Choo Choo"", ""A String of Pearls"", ""At Last"", ""(I've Got a Gal In) Kalamazoo"", ""American Patrol"", ""Tuxedo Junction"", ""Elmer's Tune"", and ""Little Brown Jug"". In just four years Glenn Miller scored 16 number-one records and 69 top ten hits—more than Elvis Presley (38 top 10s) and the Beatles (33 top 10s) did in their careers.
While he was traveling to entertain U.S. troops in France during World War II, Miller's aircraft disappeared in bad weather over the English Channel."
75,Dinah Washington,"Dinah Washington (born Ruth Lee Jones; August 29, 1924 – December 14, 1963) was an American singer and pianist, who has been cited as ""the most popular black female recording artist of the '50s"".  Primarily a jazz vocalist, she performed and recorded in a wide variety of styles including blues, R&B, and traditional pop music, and gave herself the title of ""Queen of the Blues"".  She was a 1986 inductee of the Alabama Jazz Hall of Fame, and was inducted into the Rock and Roll Hall of Fame in 1993."
76,Grant Green,"Grant Green (June 6, 1935 – January 31, 1979) was an American jazz guitarist and composer.
Recording prolifically and mainly for Blue Note Records as both leader and sideman, Green performed in the hard bop, soul jazz, bebop, and Latin-tinged idioms throughout his career. Critics Michael Erlewine and Ron Wynn write, ""A severely underrated player during his lifetime, Grant Green is one of the great unsung heroes of jazz guitar ... Green's playing is immediately recognizable – perhaps more than any other guitarist."" Critic Dave Hunter described his sound as ""lithe, loose, slightly bluesy and righteously groovy"". He often performed in an organ trio, a small group with an organ and drummer.
Apart from guitarist Charlie Christian, Green's primary influences were saxophonists, particularly Charlie Parker, and his approach was therefore almost exclusively linear rather than chordal. He thus rarely played rhythm guitar except as a sideman on albums led by other musicians. The simplicity and immediacy of Green's playing, which tended to avoid chromaticism, derived from his early work playing rhythm and blues and, although at his best he achieved a synthesis of this style with bop, he was essentially a blues guitarist and returned almost exclusively to this style in his later career."
77,Paul Chambers,"Paul Laurence Dunbar Chambers, Jr. (April 22, 1935 – January 4, 1969) was a jazz double bassist. A fixture of rhythm sections during the 1950s and 1960s, his importance in the development of jazz bass can be measured not only by the extent of his work in this short period, but also by his impeccable timekeeping and intonation, and virtuosic improvisations. He was also known for his bowed solos. Chambers recorded about a dozen albums as a leader or co-leader, and  as a sideman, notably as the anchor of trumpeter Miles Davis's ""first great quintet"" (1955–63) and with pianist Wynton Kelly (1963–68)."
78,Ray Brown,"Raymond Matthews Brown (October 13, 1926 – July 2, 2002) was an American jazz double bassist known for extensive work with Oscar Peterson and Ella Fitzgerald."
79,Les Paul,"Lester William Polsfuss (June 9, 1915 – August 12, 2009), known as Les Paul, was an American jazz, country, and blues guitarist, songwriter, luthier, and inventor. He was one of the pioneers of the solid-body electric guitar, and his techniques served as inspiration for the Gibson Les Paul. Paul taught himself how to play guitar, and while he is mainly known for jazz and popular music, he had an early career in country music. He is credited with many recording innovations. Although he was not the first to use the technique, his early experiments with overdubbing (also known as sound on sound), delay effects such as tape delay, phasing effects and multitrack recording were among the first to attract widespread attention.His innovative talents extended into his playing style, including licks, trills, chording sequences, fretting techniques and timing, which set him apart from his contemporaries and inspired many guitarists of the present day. He recorded with his wife, the singer and guitarist Mary Ford, in the 1950s, and they sold millions of records.
Among his many honors, Paul is one of a handful of artists with a permanent, stand-alone exhibit in the Rock and Roll Hall of Fame. He is prominently named by the music museum on its website as an ""architect"" and a ""key inductee"" with Sam Phillips and Alan Freed. Les Paul is the only person to be included in both the Rock and Roll Hall of Fame and the National Inventors Hall of Fame."
80,Chuck Mangione,"Charles Frank Mangione (; born November 29, 1940) is an American flugelhorn player, trumpeter and composer.
He was a member of Art Blakey's band and co-led the Jazz Brothers with his brother, Gap. He achieved international success in 1977 with his jazz-pop single ""Feels So Good"". Mangione has released more than 30 albums since 1960."
81,Gil Evans,"Ian Ernest Gilmore Evans (born Green; May 13, 1912 – March 20, 1988) was a Canadian jazz pianist, arranger, composer and bandleader. He is widely recognized as one of the greatest orchestrators in jazz, playing an important role in the development of cool jazz, modal jazz, free jazz, and jazz fusion. He is best known for his acclaimed collaborations with Miles Davis."
82,Rahsaan Roland Kirk,"Rahsaan Roland Kirk (August 7, 1935 – December 5, 1977) was an American jazz multi-instrumentalist who played tenor saxophone, flute, and many other instruments. He was renowned for his onstage vitality, during which virtuoso improvisation was accompanied by comic banter, political ranting, and the ability to play several instruments simultaneously."
83,Hank Mobley,"Henry ""Hank"" Mobley (July 7, 1930 – May 30, 1986) was an American hard bop and soul jazz tenor saxophonist and composer. Mobley was described by Leonard Feather as the ""middleweight champion of the tenor saxophone"", a metaphor used to describe his tone, that was neither as aggressive as John Coltrane nor as mellow as Stan Getz, and his style that was laid-back, subtle and melodic, especially in contrast with players like Sonny Rollins and Coltrane. The critic Stacia Proefrock claimed he is ""one of the most underrated musicians of the bop era."""
84,Stanley Turrentine,"Stanley William Turrentine (April 5, 1934 – September 12, 2000) was an American jazz tenor saxophonist. He began his career playing R&B for Earl Bostic and later soul jazz recording for the Blue Note label from 1960, touched on jazz fusion during a stint on CTI in the 1970s. He was described by critic Steve Huey as ""renowned for his distinctively thick, rippling tone [and] earthy grounding in the blues."" Turrentine was married to organist Shirley Scott in the 1960s, with whom he frequently recorded, and was the younger brother of trumpeter Tommy Turrentine."
85,Artie Shaw,"Artie Shaw (born Arthur Jacob Arshawsky; May 23, 1910 – December 30, 2004) was an American clarinetist, composer, bandleader, and actor. Also an author, Shaw wrote both fiction and non-fiction.
Widely regarded as ""one of jazz's finest clarinetists"", Shaw led one of the United States' most popular big bands in the late 1930s through the early 1940s. Though he had numerous hit records, he was perhaps best known for his 1938 recording of Cole Porter's ""Begin the Beguine"". Before the release of ""Beguine"", Shaw and his fledgling band had languished in relative obscurity for over two years and, after its release, he became a major pop artist within short order. The record eventually became one of the era's defining recordings. Musically restless, Shaw was also an early proponent of what became known much later as Third Stream music, which blended elements of classical and jazz forms and traditions. His music influenced other musicians, such as John Barry in England, with the vamp of the James Bond Theme, possibly influenced by 1938's ""Nightmare"".
Shaw also recorded with small jazz groups drawn from within the ranks of the various big bands he led. He served in the US Navy from 1942 to 1944, (during which time he led a morale-building band that toured the South Pacific amidst the chaos of World War II) and, following his discharge in 1944, he returned to lead a band through 1945. Following the breakup of that band, he began to focus on other interests and gradually withdrew from the world of being a professional musician and major celebrity, although he remained a force in popular music and jazz before retiring from music completely in 1954."
86,Ramsey Lewis,"Ramsey Emmanuel Lewis Jr. (born May 27, 1935) is an American jazz composer, pianist and radio personality. Ramsey Lewis has recorded over 80 albums and has received five gold records and three Grammy Awards so far in his career."
87,Branford Marsalis,"Branford Marsalis (born August 26, 1960) is an American saxophonist, composer, and bandleader. While primarily known for his work in jazz as the leader of the Branford Marsalis Quartet, he also performs frequently as a soloist with classical ensembles and has led the group Buckshot LeFonque."
88,Yusef Lateef,"Yusef Abdul Lateef (born William Emanuel Huddleston; October 9, 1920 – December 23, 2013) was an American jazz multi-instrumentalist, composer, and prominent figure among the Ahmadiyya Community in America.
Although Lateef's main instruments were the tenor saxophone and flute, he also played oboe and bassoon, both rare in jazz, and also used a number of non-western instruments such as the bamboo flute, shanai, shofar, xun, arghul and koto. He is known for having been an innovator in the blending of jazz with ""Eastern"" music. Peter Keepnews, in his New York Times obituary of Lateef, wrote that the musician ""played world music before world music had a name"".Lateef wrote and published a number of books including two novellas entitled A Night in the Garden of Love and Another Avenue, the short story collections Spheres and Rain Shapes, also his autobiography, The Gentle Giant, written in collaboration with Herb Boyd. Along with his record label YAL Records, Lateef owned Fana Music, a music publishing company. Lateef published his own work through Fana, which includes Yusef Lateef's Flute Book of the Blues and many of his own orchestral compositions.

"
89,Jim Hall,"James Stanley Hall (December 4, 1930 – December 10, 2013) was an American jazz guitarist, composer and arranger.  Premier Guitar magazine stated that ""It could be argued that the jazz guitar tree is rooted in four names: Django [Reinhardt], Charlie [Christian], Wes [Montgomery], and Jim [Hall]""."
90,Jack DeJohnette,"Jack DeJohnette (born August 9, 1942) is an American jazz drummer, pianist, and composer.
An important figure of the fusion era of jazz, DeJohnette is one of the most influential jazz drummers of the 20th century, given his extensive work as leader and sideman for musicians including Charles Lloyd, Freddie Hubbard, Keith Jarrett, Bill Evans, John Abercrombie, Alice Coltrane, Sonny Rollins, Miles Davis, Joe Henderson, Michael Brecker, Herbie Hancock and John Scofield. He was inducted into the Modern Drummer Hall of Fame in 2007."
91,Lennie Tristano,"Leonard Joseph Tristano (March 19, 1919 – November 18, 1978) was an American jazz pianist, composer, arranger, and teacher of jazz improvisation.
Tristano studied for bachelor's and master's degrees in music in Chicago before moving to New York City in 1946. He played with leading bebop musicians and formed his own small bands, which soon displayed some of his early interests – contrapuntal interaction of instruments, harmonic flexibility, and rhythmic complexity. His quintet in 1949 recorded the first free group improvisations. Tristano's innovations continued in 1951, with the first overdubbed, improvised jazz recordings, and two years later, when he recorded an atonal improvised solo piano piece that was based on the development of motifs rather than on harmonies. He developed further via polyrhythms and chromaticism into the 1960s, but was infrequently recorded.
Tristano started teaching music, especially improvisation, in the early 1940s, and by the mid-1950s was concentrating on teaching in preference to performing. He taught in a structured and disciplined manner, which was unusual in jazz education when he began. His educational role over three decades meant that he exerted an influence on jazz through his students, including saxophonists Lee Konitz and Warne Marsh.
Musicians and critics vary in their appraisal of Tristano as a musician. Some describe his playing as cold and suggest that his innovations had little impact; others state that he was a bridge between bebop and later, freer forms of jazz, and assert that he is less appreciated than he should be because commentators found him hard to categorize and because he chose not to commercialize."
92,Gene Krupa,"Eugene Bertram Krupa (January 15, 1909 – October 16, 1973) was an American jazz drummer, band leader, actor, and composer known for his energetic style and showmanship. His drum solo on ""Sing, Sing, Sing"" (1937) elevated the role of the drummer from an accompanying line to an important solo voice in the band.
In collaboration with the Slingerland drum and Zildjian cymbal manufacturers, he was a major force in defining the standard band drummer's kit. Krupa is considered ""the founding father of the modern drumset"" by Modern Drummer magazine."
93,Sonny Clark,"Conrad Yeatis ""Sonny"" Clark (July 21, 1931 – January 13, 1963) was an American jazz pianist who mainly worked in the hard bop idiom."
94,Mary Lou Williams,"Mary Lou Williams (born Mary Elfrieda Scruggs; May 8, 1910 – May 28, 1981) was an American jazz pianist, arranger, and composer. She wrote hundreds of compositions and arrangements and recorded more than one hundred records (in 78, 45, and LP versions). Williams wrote and arranged for Duke Ellington and Benny Goodman, and she was friend, mentor, and teacher to Thelonious Monk, Charlie Parker, Miles Davis, Tadd Dameron, Bud Powell, and Dizzy Gillespie.

"
95,Michael Brecker,"Michael Leonard Brecker (March 29, 1949 – January 13, 2007) was an American jazz saxophonist and composer. He was awarded 15 Grammy Awards as both performer and composer. He was awarded an Honorary Doctorate from Berklee College of Music in 2004, and was inducted into the Down Beat Jazz Hall of Fame in 2007."
96,Toots Thielemans,"Jean-Baptiste Frédéric Isidor, Baron Thielemans (29 April 1922 – 22 August 2016), known professionally as Toots Thielemans, was a Belgian jazz musician.  He was known for his harmonica playing, as well as his guitar, whistling skills, and composing. According to jazz historian Ted Gioia, his most important contribution was in ""championing the humble harmonica"", which Thielemans made into a ""legitimate voice in jazz"". He eventually became the ""preeminent"" jazz harmonica player.His first professional performances were with Benny Goodman's band when they toured Europe in 1949 and 1950. He emigrated to the U.S. in 1951, becoming a citizen in 1957. From 1953 to 1959 he played with George Shearing, and then led his own groups on tours in the U.S. and Europe. In 1961 he recorded and performed live one of his own compositions, ""Bluesette"", which featured him playing guitar and whistling. In the 1970s and 1980s, he continued touring and recording, appearing with musicians such as Oscar Peterson, Bill Evans, Dizzy Gillespie, Kenny Werner, Pat Metheny, Jaco Pastorius, Elis Regina and Paquito D'Rivera.
Among the film soundtracks that Thielemans recorded are The Pawnbroker (1964), Midnight Cowboy (1969), Cinderella Liberty (1973), The Sugarland Express (1974) and Looking for Mr. Goodbar (1977). His harmonica theme song for the popular Sesame Street TV show was heard for 40 years. He often performed and recorded with Quincy Jones, who once called him ""one of the greatest musicians of our time."" In 2009 he was designated a Jazz Master by The National Endowment for the Arts, the highest honor for a jazz musician in the United States."
97,Joe Pass,"Joe Pass (born Joseph Anthony Jacobi Passalaqua; January 13, 1929 – May 23, 1994) was an American jazz guitarist of Sicilian descent. He is considered one of the greatest jazz guitarists of the 20th century. He created possibilities for jazz guitar through his style of chord-melody, his knowledge of chord inversions and progressions, and his use of walking basslines and counterpoint during improvisation. Pass worked often with pianist Oscar Peterson and vocalist Ella Fitzgerald."
98,Buddy Rich,"A powerhouse in the world of jazz and big band music, Buddy Rich was hailed as one of the most influential and skilled drummers of all time. Born Bernard Rich in Brooklyn, New York, in 1917, his musical journey began at an early age with vaudeville performances, blossoming into a career that spanned over seven decades. Dubbed ""Traps the Drum Wonder"" as a child for his exceptional talent, he evolved beyond the persona to become a respected figure in the music industry.
 
 Rich's career trajectory was nothing short of impressive. At the tender age of 15, he started playing with notable jazz musicians, which led to collaborations with major orchestras, including those led by Artie Shaw and Tommy Dorsey. His virtuoso technique, combined with a flamboyant showmanship, brought a new flair to the art of drumming. Despite being self-taught, Rich's musicality was highly regarded, earning him accolades and cementing his place among the greats of jazz and big band music.
 
 However, Buddy Rich wasn't just a drummer; he was also a successful bandleader with several popular bands bearing his name. Throughout his career, he helmed various ensembles, thereby showcasing his versatility not only as a musician but as a leader too. He remained active in the music scene until his passing in 1987, leaving behind a remarkable legacy that continues to inspire future generations of drummers and musicians alike. His life and work serve as a testament to his dedication to his craft and his undying passion for music."
99,Zoot Sims,"John Haley ""Zoot"" Sims (October 29, 1925 – March 23, 1985) was an American jazz saxophonist, playing mainly tenor but also alto (and, later, soprano) saxophone. He first gained attention in the ""Four Brothers"" sax section of Woody Herman's big band, afterward enjoying a long solo career, often in partnership with fellow saxmen Gerry Mulligan and Al Cohn, and the trombonist Bob Brookmeyer."
100,Teddy Wilson,"Theodore Shaw Wilson (November 24, 1912 – July 31, 1986) was an American jazz pianist. Described by critic Scott Yanow as ""the definitive swing pianist"", Wilson's sophisticated and elegant style was featured on the records of many of the biggest names in jazz, including Louis Armstrong, Lena Horne, Benny Goodman, Billie Holiday, and Ella Fitzgerald. With Goodman, he was one of the first black musicians to appear prominently with white musicians. In addition to his extensive work as a sideman, Wilson also led his own groups and recording sessions from the late 1920s to the 1980s."
101,Jean-Luc Ponty,Jean-Luc Ponty (born 29 September 1942) is a French jazz violinist and composer.
102,Fats Navarro,"Theodore ""Fats"" Navarro (September 24, 1923 – July 6, 1950) was an American jazz trumpet player. He was a pioneer of the bebop style of jazz improvisation in the 1940s. He had a strong stylistic influence on many other players, including Clifford Brown."
103,Kenny Drew,"Kenneth Sidney ""Kenny"" Drew (August 28, 1928 – August 4, 1993) was an American jazz pianist."
104,John Scofield,"John Scofield (born December 26, 1951), sometimes referred to as ""Sco"", is an American jazz-rock guitarist and composer whose music includes bebop, jazz fusion, funk, blues, soul, and rock. He has worked with Miles Davis, Dave Liebman, Joe Henderson, Charles Mingus, Joey DeFrancesco, Herbie Hancock, Eddie Palmieri, Pat Metheny, Bill Frisell, Joe Lovano, Pat Martino, Mavis Staples, Phil Lesh, Billy Cobham, Medeski Martin & Wood, George Duke, Jaco Pastorius, John Mayer, Robert Glasper, and Gov't Mule."
105,Hugh Masekela,"Hugh Ramapolo Masekela (4 April 1939 – 23 January 2018) was a South African trumpeter, flugelhornist, cornetist, singer and composer who has been described as ""the father of South African jazz"". Masekela was known for his jazz compositions and for writing well-known anti-apartheid songs such as ""Soweto Blues"" and ""Bring Him Back Home"". He also had a number-one US pop hit in 1968 with his version of ""Grazing in the Grass""."
106,Johnny Griffin,"John Arnold Griffin III (April 24, 1928 – July 25, 2008) was an American jazz tenor saxophonist. Nicknamed ""the Little Giant"" for his short stature and forceful playing, Griffin's career began in the early 1940s and continued until the month of his death. At eighty, he could not afford to stop. He did not complain. He had a hard life, but often said, “as long as God has given me the gift to blow, I owe it to God to keep on blowing.” A pioneering figure in hard bop, Griffin recorded prolifically as a bandleader in addition to stints with pianist Thelonious Monk, drummer Art Blakey, in partnership with fellow tenor Eddie ""Lockjaw"" Davis and as a member of the Kenny Clarke/Francy Boland Big Band after he moved to Europe in the 1960s. In 1995, Griffin was awarded an Honorary Doctorate of Music from Berklee College of Music."
107,Larry Carlton,"Larry Eugene Carlton (born March 2, 1948) is an American guitarist who built his career as a studio musician in the 1970s and '80s for acts such as Steely Dan and Joni Mitchell. He has participated in thousands of recording sessions, recorded on hundreds of albums in many genres, for television and movies, and on more than 100 gold records. He has been a member of the jazz fusion group The Crusaders and smooth jazz band Fourplay and has maintained a long solo career."
108,Esperanza Spalding,"Esperanza Emily Spalding (born October 18, 1984) is an American jazz bassist and singer. Spalding was raised in Portland, Oregon, and was a musical prodigy, playing violin in the Chamber Music Society of Oregon at five years old. She was later both self-taught and -trained on a number of instruments, including guitar and bass. Her proficiency earned her scholarships to Portland State University and the Berklee College of Music. In 2017, she was appointed Professor of the Practice of Music at Harvard University.She has won four Grammy Awards, including the Grammy Award for Best New Artist at the 53rd Grammy Awards, making her the first jazz artist to win the award."
110,Lee Ritenour,"Lee Mack Ritenour (born January 11, 1952) is an American jazz guitarist who has been active since the late 1960s."
111,Steve Gadd,"Stephen Kendall Gadd (born April 9, 1945) is an American drummer, percussionist, and session musician. Gadd is one of the most well-known and highly regarded session and studio drummers in the industry, recognized by his induction into the Modern Drummer Hall of Fame in 1984. Gadd's performance on Paul Simon's ""50 Ways to Leave Your Lover"", ""Late in the Evening"" and Steely Dan's ""Aja"" are examples of his style. He has worked with popular musicians from many genres including Simon & Garfunkel, Steely Dan, James Taylor, Harry Chapin, Eric Clapton, Kate Bush, Joe Cocker, Grover Washington Jr., Chick Corea, Lee Ritenour, Paul Desmond, Chet Baker, Al Di Meola, Kenny Loggins and Michel Petrucciani."
112,Fats Domino,"Stemming from New Orleans, Louisiana, Antoine Dominique ""Fats"" Domino Jr. was a celebrated musician and songwriter known for his profound contributions to the world of rock 'n' roll. His music career, which spanned five decades from the 1940s to the 1990s, made him one of the pioneers in the rock 'n' roll genre, with his unique blend of traditional rhythm & blues and boogie-woogie style of playing the piano.
 
 Born on February 26, 1928, Domino began his journey into music at an early age, learning the piano by ear from his brother-in-law. He was soon discovered by bandleader Dave Bartholomew, leading to a record deal with Imperial Records in 1949. This collaboration resulted in some of the biggest hits of the time, including ""Ain't That a Shame,"" ""Blueberry Hill,"" and ""Walkin' to New Orleans."" His infectious rhythms and distinctive voice entranced audiences, propelling him to international stardom. 
 
 Dominating the pop and R&B charts throughout the 1950s and 1960s, Domino was an instrumental figure in shaping rock 'n' roll's sound and style. His influence permeates the works of numerous artists that followed, earning him a well-deserved induction into the Rock & Roll Hall of Fame in 1986. Despite his passing on October 24, 2017, Fats Domino's music continues to be appreciated by fans and musicians alike, solidifying his place as a true legend in the annals of rock 'n' roll history."
113,André Previn,"André George Previn,  (; born Andreas Ludwig Priwin; April 6, 1929 – February 28, 2019) was a German-American pianist, composer, arranger, and conductor.
His career was three-pronged. Starting by arranging and composing Hollywood film scores for Metro-Goldwyn-Mayer, Previn was involved in the music for over 50 films over his entire career. He won four Academy Awards for his film work and ten Grammy Awards for his recordings (and one more for his Lifetime Achievement). He was also the music director of the Houston Symphony Orchestra, the Pittsburgh Symphony Orchestra, the Los Angeles Philharmonic, and the Oslo Philharmonic, as well as the principal conductor of the London Symphony Orchestra and the Royal Philharmonic Orchestra. In jazz, Previn was a pianist-interpreter and arranger of songs from the Great American Songbook, was piano-accompanist to singers of jazz standards, and was a trio pianist. All along the way, his efforts were recorded; much of the way, they garnered acclaim and awards."
